Date,Normalised,Uncertainty_0_lower,Uncertainty_0_upper,Uncertainty_1_lower,Uncertainty_1_upper,Value,arXiv,match
2000-01-31,57.0 ^ +13.999999999999998 _ -11.0 (95 % statistical) ^ +26.0 _ -15.0 (systematic) km s^-1 Mpc^-1,11.0,13.999999999999998,15.0,26.0,57.0,astro-ph/0001533,57 ^ { +14 } _ { -11 } ( 95 % statistical ) ^ { +26 } _ { -15 } ( systematic ) km s ^ { -1 } Mpc ^ { -1 }
2000-01-31,74.0 ^ +18.0 _ -15.0 (95 % statistical) \pm 22.0 (systematic) km s^-1 Mpc^-1,15.0,18.0,22.0,22.0,74.0,astro-ph/0001533,74 ^ { +18 } _ { -15 } ( 95 % statistical ) ^ { +22 } _ { -22 } ( systematic ) km s ^ { -1 } Mpc ^ { -1 } .
2005-03-07,73.0 \pm 4.0 (statistical) \pm 5.0 (systematic) km s^-1 Mpc^-1,4.0,4.0,5.0,5.0,73.0,astro-ph/0503159,73 \pm 4 ( statistical ) \pm 5 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } .
2005-03-10,55.99999999999999 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,55.99999999999999,astro-ph/0503242,56 \pm 4 km / s / Mpc .
2005-03-30,72.0 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,72.0,astro-ph/0503647,72 \pm 4 km s ^ { -1 } Mpc ^ { -1 }
2000-11-04,71.0 \pm 6.0 km s^-1 Mpc^-1,6.0,6.0,,,71.0,astro-ph/0011109,71 \pm 6 km/sec/Mpc for an
2000-11-04,64.0 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,64.0,astro-ph/0011109,64 \pm 4 km/sec/Mpc for a
2000-11-07,69.0 ^ +13.0 _ -19.0 km s^-1 Mpc^-1,19.0,13.0,,,69.0,astro-ph/0011142,69 ^ { +13 } _ { -19 } km s ^ { -1 } Mpc ^ { -1 } .
2000-11-15,76.0 \pm 1.3 (1 - \sigma statistical) \pm 6.0 (systematic) km s^-1 Mpc^-1,1.3,1.3,6.0,6.0,76.0,astro-ph/0011288,76 \pm 1.3 ( 1- \sigma statistical ) \pm 6 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } .
2000-11-15,72.0 \pm 2.3 km s^-1 Mpc^-1,2.3,2.3,,,72.0,astro-ph/0011288,72 \pm 2.3 km s ^ { -1 } Mpc ^ { -1 }
2000-11-26,73.0 \pm 2.0 (r) \pm 6.999999999999999 (s) km s^-1 Mpc^-1,2.0,2.0,6.999999999999999,6.999999999999999,73.0,astro-ph/0011478,73 \pm 2 ( r ) \pm 7 ( s ) km s ^ { -1 } Mpc ^ { -1 } .
2000-11-30,73.0 \pm 2.0 (r) \pm 6.999999999999999 (s) km s^-1 Mpc^-1,2.0,2.0,6.999999999999999,6.999999999999999,73.0,astro-ph/0011567,73 \pm 2 ( r ) \pm 7 ( s ) km s ^ { -1 } Mpc ^ { -1 } .
2002-09-30,59.00000000000001 ^ +12.0 _ -6.999999999999999 \pm 3.0 km s^-1 Mpc^-1,6.999999999999999,12.0,3.0,3.0,59.00000000000001,astro-ph/0210002,59 ^ { +12 } _ { -7 } \pm 3 km s ^ { -1 } Mpc ^ { -1 }
2000-12-18,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,astro-ph/0012376,72 \pm 8 km s ^ { -1 } Mpc ^ { -1 } .
2000-12-22,79.0 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,79.0,astro-ph/0012475,79 \pm 4 km/sec/Mpc
2008-02-18,76.0 \pm 6.0 (statistical) \pm 5.0 (systematic) km s^-1 Mpc^-1,6.0,6.0,5.0,5.0,76.0,0802.2509,76 \pm 6 ( statistical ) \pm 5 ( systematic ) km/s/Mpc .
2004-07-07,55.99999999999999 \pm 23.0 km s^-1 Mpc^-1,23.0,23.0,,,55.99999999999999,astro-ph/0407134,56 { \pm } 23 { km s ^ { -1 } Mpc ^ { -1 } } .
2001-12-03,58.0 ^ +17.0 _ -15.0 km s^-1 Mpc^-1,15.0,17.0,,,58.0,astro-ph/0112025,58 ^ { +17 } _ { -15 } { km s ^ { -1 } Mpc ^ { -1 } }
2001-12-10,66.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,66.0,astro-ph/0112225,66 \pm 8 { km } ~ { } { s ^ { -1 } } ~ { } { Mpc ^ { -1 } }
2001-12-10,65.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,65.0,astro-ph/0112225,65 \pm 8 { km } ~ { } { s ^ { -1 } } ~ { } { Mpc ^ { -1 } }
2004-07-30,69.8 \pm 2.6 km s^-1 Mpc^-1,2.6,2.6,,,69.8,astro-ph/0408003,69.8 ^ { +2.6 } _ { -2.6 } km s ^ { -1 } Mpc ^ { -1 }
2004-07-30,67.0 ^ +30.0 _ -18.0 ^ +15.0 _ -6.0 km s^-1 Mpc^-1,18.0,30.0,6.0,15.0,67.0,astro-ph/0408005,67 ^ { +30 } _ { -18 } \mbox { } ^ { +15 } _ { -6 } km s ^ { -1 } Mpc ^ { -1 } for an
2003-09-24,83.0 \pm 8.3 km s^-1 Mpc^-1,8.3,8.3,,,83.0,astro-ph/0309680,83.0 \pm 8.3 km/s/Mpc is
2003-09-26,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,astro-ph/0309739,72 \pm 8 km s ^ { -1 } Mpc ^ { -1 }
2006-09-08,74.0 \pm 2.0 (random) \pm 6.0 (systematic) km s^-1 Mpc^-1,2.0,2.0,6.0,6.0,74.0,astro-ph/0609249,74 \pm 2 ( random ) \pm 6 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } .
2006-09-25,70.0 \pm 6.0 km s^-1 Mpc^-1,6.0,6.0,,,70.0,astro-ph/0609694,70 \pm 6 { km s ^ { -1 } Mpc ^ { -1 } }
2006-09-25,68.0 \pm 6.0 (stat) \pm 8.0 (syst) km s^-1 Mpc^-1,6.0,6.0,8.0,8.0,68.0,astro-ph/0609694,68 \pm 6 ( { stat . } ) \pm 8 ( { syst . } ) { km s ^ { -1 } Mpc ^ { -1 } } .
2008-03-27,67.0 ^ +13.0 _ -10.0 km s^-1 Mpc^-1,10.0,13.0,,,67.0,0803.4015,67 ^ { +13 } _ { -10 } km s ^ { -1 } Mpc ^ { -1 }
2008-03-27,62.99999999999999 ^ +6.999999999999999 _ -3.0 km s^-1 Mpc^-1,3.0,6.999999999999999,,,62.99999999999999,0803.4015,63 ^ { +7 } _ { -3 } km s ^ { -1 } Mpc ^ { -1 }
2001-11-05,48.0 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,48.0,astro-ph/0111075,48 \pm 4 ~ { } \mathrm { km } ~ { } \mathrm { s } ^ { -1 } ~ { } \mathrm { Mpc } ^ { -1 }
2001-11-05,62.00000000000001 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,62.00000000000001,astro-ph/0111075,62 \pm 4 ~ { } \mathrm { km } ~ { } \mathrm { s } ^ { -1 } ~ { } \mathrm { Mpc } ^ { -1 }
2001-11-08,68.0 \pm 3.0 km s^-1 Mpc^-1,3.0,3.0,,,68.0,astro-ph/0111183,68 \pm 3 km s ^ { -1 } Mpc ^ { -1 }
2001-11-08,74.0 \pm 2.0 km s^-1 Mpc^-1,2.0,2.0,,,74.0,astro-ph/0111183,74 \pm 2 km s ^ { -1 } Mpc ^ { -1 }
2001-11-08,73.0 \pm 4.0 \pm 11.0 km s^-1 Mpc^-1,4.0,4.0,11.0,11.0,73.0,astro-ph/0111183,73 \pm 4 \pm 11 km s ^ { -1 } Mpc ^ { -1 } from
2006-08-10,74.0 \pm 3.0 (r) \pm 6.0 (s) km s^-1 Mpc^-1,3.0,3.0,6.0,6.0,74.0,astro-ph/0608211,74 \pm 3 _ { r } \pm 6 _ { s } km s ^ { -1 } Mpc ^ { -1 }
2006-04-06,70.8 ^ +2.1 _ -2.0 km s^-1 Mpc^-1,2.0,2.1,,,70.8,astro-ph/0604129,70.8 ^ { +2.1 } _ { -2.0 } \mathrm { km / s / Mpc }
2007-06-11,44.0 \pm 5.0 km s^-1 Mpc^-1,5.0,5.0,,,44.0,0706.1464,44 \pm 5 km s ^ { -1 } Mpc ^ { -1 }
2000-04-05,58.5 \pm 6.3 km s^-1 Mpc^-1,6.3,6.3,,,58.5,astro-ph/0004063,58.5 \pm 6.3 km s ^ { -1 } Mpc ^ { -1 } .
2000-05-05,85.0 \pm 5.0 km s^-1 Mpc^-1,5.0,5.0,,,85.0,astro-ph/0005112,85 \pm 5 { km } { s } ^ { -1 } { { Mpc } } ^ { -1 }
2000-05-05,71.0 \pm 6.0 km s^-1 Mpc^-1,6.0,6.0,,,71.0,astro-ph/0005112,71 \pm 6 { km } { s } ^ { -1 } { { Mpc } } ^ { -1 } .
2001-02-14,73.0 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,73.0,astro-ph/0102260,73 \pm 4 km s ^ { -1 } Mpc ^ { -1 } .
2001-02-26,85.0 \pm 10.0 km s^-1 Mpc^-1,10.0,10.0,,,85.0,astro-ph/0102447,85 \pm 10 kms ^ { -1 } Mpc ^ { -1 }
2001-02-26,58.0 \pm 6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,6.999999999999999,,,58.0,astro-ph/0102447,58 \pm 7 kms ^ { -1 } Mpc ^ { -1 }
2001-02-28,52.0 ^ +24.0 _ -16.0 km s^-1 Mpc^-1,16.0,24.0,,,52.0,astro-ph/0102489,52 ^ { +24 } _ { -16 } km s ^ { -1 } Mpc ^ { -1 } .
2001-02-28,69.0 ^ +21.0 _ -16.0 km s^-1 Mpc^-1,16.0,21.0,,,69.0,astro-ph/0102496,69 ^ { +21 } _ { -16 } ~ { } km s ^ { -1 } Mpc ^ { -1 }
2001-02-28,84.0 ^ +25.0 _ -19.0 km s^-1 Mpc^-1,19.0,25.0,,,84.0,astro-ph/0102496,84 ^ { +25 } _ { -19 } ~ { } km s ^ { -1 } Mpc ^ { -1 }
2002-01-31,44.0 \pm 9.0 km s^-1 Mpc^-1,9.0,9.0,,,44.0,astro-ph/0201551,44 \pm 9 km s ^ { -1 } Mpc ^ { -1 } for an \Omega _ { m }
2005-07-15,55.99999999999999 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,55.99999999999999,astro-ph/0507381,56 { \pm } 8 km s ^ { -1 } Mpc ^ { -1 } .
2005-07-15,65.0 \pm 9.0 km s^-1 Mpc^-1,9.0,9.0,,,65.0,astro-ph/0507381,65 { \pm } 9 km s ^ { -1 } Mpc ^ { -1 } .
2005-07-15,71.0 \pm 3.4999999999999996 km s^-1 Mpc^-1,3.4999999999999996,3.4999999999999996,,,71.0,astro-ph/0507381,71 { \pm } 3.5 km s ^ { -1 } Mpc ^ { -1 }
2005-07-26,74.0 \pm 2.0 km s^-1 Mpc^-1,2.0,2.0,,,74.0,astro-ph/0507583,74 \pm 2 { kms } ^ { -1 } { Mpc } ^ { -1 }
2004-09-17,"60.0 ^ +9.0 _ -6.999999999999999 (random , 1 \sigma) \pm 2.0 (systematic) km s^-1 Mpc^-1",6.999999999999999,9.0,2.0,2.0,60.0,astro-ph/0409444,"60 ^ { +9 } _ { -7 } ( random , 1 \sigma ) \pm 2 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } for a"
2004-09-17,"62.99999999999999 ^ +9.0 _ -6.999999999999999 (random , 1 \sigma) \pm 1.0 (systematic) km s^-1 Mpc^-1",6.999999999999999,9.0,1.0,1.0,62.99999999999999,astro-ph/0409444,"63 ^ { +9 } _ { -7 } ( random , 1 \sigma ) \pm 1 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } for a"
2004-09-17,"64.0 ^ +9.0 _ -6.999999999999999 (random , 1 \sigma) \pm 13.999999999999998 (systematic) km s^-1 Mpc^-1",6.999999999999999,9.0,13.999999999999998,13.999999999999998,64.0,astro-ph/0409444,"64 ^ { +9 } _ { -7 } ( random , 1 \sigma ) \pm 14 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } ."
2002-12-11,68.0 \pm 5.0 \pm 6.0 km s^-1 Mpc^-1,5.0,5.0,6.0,6.0,68.0,astro-ph/0212262,68 \pm 5 \pm 6 km s ^ { -1 } /Mpc .
2002-12-11,71.0 \pm 4.0 \pm 6.0 km s^-1 Mpc^-1,4.0,4.0,6.0,6.0,71.0,astro-ph/0212262,71 \pm 4 \pm 6 km s ^ { -1 } /Mpc .
2002-12-18,64.0 ^ +96.0 _ -30.0 km s^-1 Mpc^-1,30.0,96.0,,,64.0,astro-ph/0212394,64 ^ { +96 } _ { -30 } km s ^ { -1 } Mpc ^ { -1 }
2006-06-06,62.99999999999999 \pm 5.0 km s^-1 Mpc^-1,5.0,5.0,,,62.99999999999999,astro-ph/0606138,63 \pm 5 km s ^ { -1 } Mpc ^ { -1 } .
2006-06-13,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,astro-ph/0606317,72 \pm 8 km s ^ { -1 } Mpc ^ { -1 }
2006-06-13,51.7 ^ +4.0 _ -3.0 km s^-1 Mpc^-1,3.0,4.0,,,51.7,astro-ph/0606317,51.7 ^ { +4.0 } _ { -3.0 } km s ^ { -1 } Mpc ^ { -1 } .
2005-12-13,76.9 ^ +3.9000000000000004 _ -3.4 ^ +10.0 _ -8.0 km s^-1 Mpc^-1,3.4,3.9000000000000004,8.0,10.0,76.9,astro-ph/0512349,76.9 \pm ^ { 3.9 } _ { 3.4 } \pm ^ { 10.0 } _ { 8.0 } km s ^ { -1 } Mpc ^ { -1 }
2005-12-13,73.7 ^ +4.6 _ -3.8 ^ +9.5 _ -7.6 km s^-1 Mpc^-1,3.8,4.6,7.6,9.5,73.7,astro-ph/0512349,73.7 \pm ^ { 4.6 } _ { 3.8 } \pm ^ { 9.5 } _ { 7.6 } km s ^ { -1 } Mpc ^ { -1 }
2005-12-13,77.6 ^ +4.8 _ -4.3 ^ +10.1 _ -8.2 km s^-1 Mpc^-1,4.3,4.8,8.2,10.1,77.6,astro-ph/0512349,77.6 \pm ^ { 4.8 } _ { 4.3 } \pm ^ { 10.1 } _ { 8.2 } km s ^ { -1 } Mpc ^ { -1 }
2000-07-03,70.4 \pm 4.3 km s^-1 Mpc^-1,4.3,4.3,,,70.4,astro-ph/0007022,70.4 \pm 4.3 km/s/Mpc .
2000-07-11,52.0 ^ +13.999999999999998 _ -8.0 km s^-1 Mpc^-1,8.0,13.999999999999998,,,52.0,astro-ph/0007136,52 ^ { +14 } _ { -8 } ~ { } { km } ~ { } { s ^ { -1 } } ~ { } { Mpc ^ { -1 } }
2003-01-14,81.0 \pm 10.0 km s^-1 Mpc^-1,10.0,10.0,,,81.0,astro-ph/0301281,81 \pm 10 km s ^ { -1 } Mpc ^ { -1 }
2006-03-15,72.0 \pm 6.0 (total) km s^-1 Mpc^-1,6.0,6.0,,,72.0,astro-ph/0603392,72 \pm 6 ( total ) km s ^ { -1 } Mpc ^ { -1 } .
2005-08-29,74.0 \pm 4.0 km s^-1 Mpc^-1,4.0,4.0,,,74.0,astro-ph/0508614,74 \pm 4 kms ^ { -1 } Mpc ^ { -1 } and a 1
2005-08-29,65.0 \pm 9.0 km s^-1 Mpc^-1,9.0,9.0,,,65.0,astro-ph/0508614,65 \pm 9 kms ^ { -1 } Mpc ^ { -1 } .
2006-11-07,77.0 \pm 3.0 (random) \pm 5.0 (systematic) km s^-1 Mpc^-1,3.0,3.0,5.0,5.0,77.0,astro-ph/0611231,77 \pm 3 ( random ) \pm 5 ( systematic ) km s ^ { -1 } Mpc ^ { -1 } for the PNLF
2006-11-29,74.0 ^ +4.0 _ -3.4999999999999996 km s^-1 Mpc^-1,3.4999999999999996,4.0,,,74.0,astro-ph/0611934,74 ^ { +4 } _ { -3.5 } km s ^ { -1 } Mpc ^ { -1 }
2001-05-22,70.0 \pm 15.0 km s^-1 Mpc^-1,15.0,15.0,,,70.0,astro-ph/0105384,70 \pm 15 km s ^ { -1 } Mpc ^ { -1 }
2001-05-23,55.99999999999999 ^ +12.0 _ -11.0 km s^-1 Mpc^-1,11.0,12.0,,,55.99999999999999,astro-ph/0105411,56 _ { -11 } ^ { +12 } { km s ^ { -1 } Mpc ^ { -1 } } .
2001-05-28,75.0 ^ +12.0 _ -11.0 km s^-1 Mpc^-1,11.0,12.0,,,75.0,astro-ph/0105490,75 ^ { +12 } _ { -11 } { km s ^ { -1 } Mpc ^ { -1 } }
2007-09-13,71.0 \pm 0.04 km s^-1 Mpc^-1,0.04,0.04,,,71.0,0709.2195,71 \pm 0.04 { km s } ^ { -1 } Mpc ^ { -1 }
2000-08-03,65.0 \pm 2.0 (statistical) km s^-1 Mpc^-1,2.0,2.0,,,65.0,astro-ph/0008057,65 \pm 2 ( statistical ) km s ^ { -1 } Mpc ^ { -1 }
2001-03-02,59.00000000000001 ^ +8.0 _ -6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,8.0,,,59.00000000000001,astro-ph/0103046,59 ^ { +8 } _ { -7 } km s ^ { -1 } Mpc ^ { -1 }
2001-03-02,65.0 ^ +8.0 _ -6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,8.0,,,65.0,astro-ph/0103046,65 ^ { +8 } _ { -7 } km s ^ { -1 } Mpc ^ { -1 } if \Omega _ { M }
2003-02-17,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,astro-ph/0302337,72 \pm 8 km s ^ { -1 } Mpc ^ { -1 } .
2003-02-27,69.0 \pm 12.0 km s^-1 Mpc^-1,12.0,12.0,,,69.0,astro-ph/0302560,69 \pm 12 km s ^ { -1 } Mpc ^ { -1 } .
2001-06-26,72.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,72.0,astro-ph/0106466,72 \pm 8 km/sec/Mpc .
1999-11-04,77.0 \pm 8.0 km s^-1 Mpc^-1,8.0,8.0,,,77.0,astro-ph/9911052,77 \pm 8 km s ^ { -1 } Mpc ^ { -1 }
1999-11-12,61.0 \pm 11.0 km s^-1 Mpc^-1,11.0,11.0,,,61.0,astro-ph/9911231,61 \pm 11 km sec ^ { -1 } Mpc ^ { -1 } at 68 %
2004-01-14,71.0 \pm 3.0 km s^-1 Mpc^-1,3.0,3.0,,,71.0,astro-ph/0401273,68-74 km s ^ { -1 } Mpc ^ { -1 }
2008-06-26,65.0 \pm 6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,6.999999999999999,,,65.0,0806.4245,65 \pm 7 km/s/Mpc .
2008-07-03,0.765 ^ +0.035 _ -0.033 km s^-1 Mpc^-1,0.033,0.035,,,0.765,0807.0647,0.765 ^ { +0.035 } _ { -0.033 } km s ^ { -1 } Mpc ^ { -1 }
2001-07-19,60.0 \pm 2.0 (internal) km s^-1 Mpc^-1,2.0,2.0,,,60.0,astro-ph/0107391,60 \pm 2 ( internal ) { km } { s } ^ { -1 } { Mpc } ^ { -1 }
2001-07-19,58.699999999999996 \pm 6.3 (internal) km s^-1 Mpc^-1,6.3,6.3,,,58.699999999999996,astro-ph/0107391,58.7 \pm 6.3 ( internal ) { km } { s } ^ { -1 } { Mpc } ^ { -1 } .
2010-05-11,69.0 \pm 11.0 km s^-1 Mpc^-1,11.0,11.0,,,69.0,1005.1955,69 \pm 11 km s ^ { -1 } Mpc ^ { -1 } .
2002-06-05,51.0 \pm 9.0 km s^-1 Mpc^-1,9.0,9.0,,,51.0,astro-ph/0206084,51 \pm 9 { km } ~ { } { s ^ { -1 } } ~ { } { Mpc ^ { -1 } }
2002-06-11,78.0 \pm 6.999999999999999 km s^-1 Mpc^-1,6.999999999999999,6.999999999999999,,,78.0,astro-ph/0206177,78 \pm 7 km s ^ { -1 } Mpc ^ { -1 } .
