arXiv,prediction
0910.2193,0.6047003435454881
astro-ph/0401039,0.49044073745215827
astro-ph/0408548,0.6008376708329627
0907.4524,0.6037815379550503
astro-ph/0402466,0.6058046636245966
astro-ph/0106012,0.603049196207243
astro-ph/0001162,0.5461653337207427
astro-ph/9906345,0.5459553402453385
astro-ph/9911046,0.6029072649681756
astro-ph/0212363,0.6062542400075885
astro-ph/0511012,0.6044160021683356
astro-ph/9801254,0.49782619486333557
astro-ph/9611105,0.5427513505172091
astro-ph/0401195,0.541681937166255
astro-ph/0403688,0.602172998627303
astro-ph/0510643,0.6045726586414736
astro-ph/0210002,0.6051345732179587
astro-ph/0405374,0.6053623393452896
astro-ph/0207356,0.6025121107612268
astro-ph/9808321,0.48801999851743455
astro-ph/9506090,0.6017500839337584
astro-ph/9812417,0.6057782547856393
astro-ph/9702224,0.5025442124176761
astro-ph/0110246,0.502921229091082
0805.0377,0.491021435787958
astro-ph/0305259,0.6037298562078217
astro-ph/0203205,0.6002114926300699
astro-ph/0005558,0.6003031020696517
astro-ph/9804188,0.6038538804695869
astro-ph/0609249,0.6013254371390595
0709.3470,0.6032438695450861
astro-ph/0405115,0.6015768400999634
astro-ph/9901157,0.6073138346460848
astro-ph/0407134,0.6025599711075837
astro-ph/0610284,0.6029471824949837
astro-ph/0508540,0.6042372176305701
0807.2448,0.6020167868402884
astro-ph/0703369,0.6026962506446615
astro-ph/9710076,0.48894133676344936
astro-ph/9907062,0.6015069718976049
0708.2164,0.5564009266875419
astro-ph/9904168,0.4919719928076326
astro-ph/0404386,0.6008541462782176
astro-ph/0104430,0.6026962594532
astro-ph/0603449,0.6032509623548943
astro-ph/9907257,0.6036187120520446
astro-ph/9311072,0.4939541051729735
astro-ph/9903117,0.5024747855808898
astro-ph/0512349,0.6045856179977215
astro-ph/0501174,0.599638571846147
0910.1310,0.5385386723102655
astro-ph/9805326,0.6043406817145608
astro-ph/0504404,0.6036899573677547
astro-ph/0507215,0.604027077038289
astro-ph/0410612,0.5476134104809214
astro-ph/0407022,0.6020655288107286
astro-ph/9904118,0.6025170366077253
astro-ph/9701201,0.6054075634550271
astro-ph/0703570,0.6042175019518988
astro-ph/9901304,0.5131923789783266
0704.1654,0.5469140643542171
0909.3098,0.602352248720853
astro-ph/0401138,0.5070023410648506
astro-ph/9802059,0.602826357934224
astro-ph/0010039,0.5361817084378481
astro-ph/9907228,0.6021978300331231
astro-ph/9805024,0.6027929779697282
astro-ph/0211244,0.5517806490630578
astro-ph/0212497,0.5464485831225876
1003.2559,0.6017822032944592
astro-ph/9907258,0.6056043816427705
astro-ph/0211186,0.603826962292343
astro-ph/0603643,0.6059480518287453
astro-ph/0011478,0.6045278568275777
astro-ph/9908149,0.6031314556426871
astro-ph/9702173,0.48765794794161027
astro-ph/0306216,0.6041282391985783
astro-ph/0101213,0.5481135982282176
astro-ph/9904245,0.5068036491288364
astro-ph/9702017,0.6059688798336011
astro-ph/0212075,0.6026107517723309
astro-ph/0401273,0.49048143018719886
astro-ph/9812226,0.5491683391031404
astro-ph/9612237,0.5398666897266097
astro-ph/9612169,0.6030689870182729
astro-ph/0006397,0.49202330155284785
astro-ph/9705002,0.4876949701874107
astro-ph/0302280,0.601731705107188
astro-ph/0702146,0.6038495604628626
astro-ph/0302006,0.6032429390080319
astro-ph/9912149,0.4875790613291306
astro-ph/0307457,0.6012919200983203
astro-ph/9907333,0.605933650643083
0812.2720,0.602191207076956
astro-ph/9901351,0.6053016947938283
astro-ph/9509034,0.6037011266471715
astro-ph/9708254,0.602204998511584
1002.2570,0.4927373783426626
astro-ph/0612400,0.6071755459245947
astro-ph/0302031,0.604254679044261
astro-ph/0201551,0.6017637677147674
astro-ph/9801256,0.6036725108476554
astro-ph/0005450,0.5496904071563213
astro-ph/0310174,0.6022095808348001
astro-ph/0603647,0.6028235166482152
0909.1807,0.5285534930299798
astro-ph/9812133,0.6023699040207722
astro-ph/0102496,0.5010425088442807
astro-ph/9904356,0.49110296576467605
0905.2967,0.5450087723728412
astro-ph/0310873,0.5479760617094475
astro-ph/0303009,0.48632759947216214
astro-ph/9601088,0.6040868045169249
astro-ph/0408252,0.5540066698866462
astro-ph/0402512,0.6004744370480196
astro-ph/0301037,0.4929462829780435
astro-ph/0212375,0.6047673887560577
astro-ph/0302560,0.602807586051801
0803.0732,0.6071109520518219
astro-ph/0101361,0.6038721185408248
astro-ph/0703034,0.6043218103847121
astro-ph/0501458,0.54678494289458
astro-ph/9811278,0.6008580155811551
astro-ph/0407497,0.6047796848326598
astro-ph/0205490,0.6053103963674481
astro-ph/0507583,0.6047458096487315
astro-ph/0605303,0.6020477221032661
astro-ph/9906286,0.5447285117396269
astro-ph/9604020,0.5996778176830095
astro-ph/9904389,0.6047019426121367
astro-ph/0006170,0.512403489675225
astro-ph/0212276,0.606794069376337
astro-ph/9701177,0.48447358031659216
astro-ph/9501074,0.6016416154834789
astro-ph/9703043,0.602540596622166
astro-ph/0011452,0.5345605062706233
0709.2195,0.604359793908277
astro-ph/0203131,0.6013319585428304
0907.4371,0.4945555123135907
astro-ph/9702152,0.6051182397783704
0802.4262,0.5456060563086196
0909.3919,0.6055176494783114
astro-ph/0512279,0.6066418849049955
astro-ph/0004063,0.6063146458863113
astro-ph/0301226,0.5027296034664525
astro-ph/9707299,0.5986782586560393
astro-ph/0701041,0.6087075293000287
astro-ph/9909205,0.6032751820349335
astro-ph/9806080,0.5228891641169933
astro-ph/9805080,0.4928052096115901
astro-ph/9311057,0.6005178860191377
astro-ph/0208420,0.6017726837392474
astro-ph/0105252,0.6045843158908708
astro-ph/9812137,0.6018692349642663
astro-ph/0006062,0.601923953380986
astro-ph/0103046,0.4924104126313356
astro-ph/0111594,0.604627470670404
astro-ph/0009432,0.46288894744339765
astro-ph/9806396,0.5992246821988348
astro-ph/0609694,0.6015710103672463
astro-ph/9612245,0.4955592311302635
astro-ph/0605683,0.6021544559991673
astro-ph/0310421,0.6029972858871596
astro-ph/0107311,0.6012520730812551
astro-ph/9807240,0.4918715854158607
astro-ph/0002310,0.6002288055980346
astro-ph/0407294,0.6037704340202211
astro-ph/0203134,0.60081702199026
astro-ph/9802350,0.6027696138083782
astro-ph/0304234,0.6045234154385316
astro-ph/0302207,0.6029553831729668
astro-ph/0506249,0.5485229389461909
astro-ph/0003455,0.5057808330202792
astro-ph/9901087,0.5348503088304118
astro-ph/0102396,0.6040633699881366
astro-ph/0205387,0.600430061840749
astro-ph/9912071,0.49445459481669757
0804.3325,0.6063867468550878
astro-ph/0005124,0.6028137736858148
astro-ph/0210567,0.5966690186172302
astro-ph/0102163,0.6028635030487913
0905.0695,0.6030905046914683
astro-ph/9802153,0.6051194331066565
astro-ph/9610270,0.45337994241281676
0908.4274,0.6059632520670787
0805.0594,0.6052832246816976
astro-ph/9707032,0.6045815637075217
astro-ph/0508177,0.6030729381219455
astro-ph/0111575,0.6035199969554811
astro-ph/0611934,0.49096612636237974
astro-ph/9910353,0.6036988983753112
1005.1955,0.6013589024267966
astro-ph/0302209,0.6045609547215431
astro-ph/9807326,0.604734934458988
astro-ph/0104490,0.6064195530147949
0803.0586,0.6063051185397794
astro-ph/0406513,0.6044836861054795
astro-ph/9901366,0.6006879888928343
astro-ph/9902317,0.6052394003721829
astro-ph/0210450,0.5480058979662084
astro-ph/9912056,0.47894218703437186
astro-ph/0012207,0.6063888243112198
astro-ph/0304551,0.5427223169782963
astro-ph/0309368,0.604369983744287
0803.0547,0.6045272156012412
astro-ph/0206177,0.6022008864138395
astro-ph/0206256,0.6023996125215645
astro-ph/0106428,0.5468001803147359
astro-ph/0609314,0.605549954821236
astro-ph/9706047,0.5050724114454843
astro-ph/9610162,0.6018429570065378
astro-ph/9604151,0.6022711448099181
astro-ph/9812248,0.59946909876769
astro-ph/0411324,0.6002618241842088
